Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Number of Negation Constraints,Number of Aggregate Constraints,Number of Parameter Constraints,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,50,1,2,3,0,2,0,10,9847,0.9236136614028645,0.9988085782366958,0.9597405075367297,5.333333492279053,0.9492808478425435,0.9960285941223193,0.9720930232558139,0.7269656595984237,1.0,0.8418993806367489
135,15,50,1,2,3,0,3,0,10,31644,0.8677743163724472,0.9920854768500198,0.9257754800590843,6.666666507720947,0.9108327192336035,0.9782350613375544,0.9433314253005152,0.7167454422687374,1.0,0.8350049164208456
135,15,50,1,2,3,0,5,0,10,45698,0.747379186908719,0.9928668478260869,0.8528081692195477,8.0,0.9290712468193384,0.9921875,0.9595926412614981,0.8196536674644517,0.9996565934065934,0.9007503674479772
135,15,50,1,2,3,0,2,0,10,12454,0.9368587213891081,1.0,0.9674001629991851,3.3333332538604736,0.9398258115597783,1.0,0.9689795918367347,0.9500127518490181,1.0,0.9743656814020403
135,15,50,1,2,3,0,3,0,10,5494,0.966824644549763,1.0,0.983132530120482,2.0,0.976418570375829,0.9992458521870287,0.9877003354453969,1.0,1.0,1.0
135,15,50,1,2,3,0,5,0,10,538047,0.776082217377764,0.9971988795518207,0.8728546409807355,10.0,0.8753082071151814,0.9943977591036415,0.9310603222180592,0.7910032462513527,1.0,0.8833074400138099
135,15,50,1,2,3,0,2,0,10,3312,0.9661668589004229,0.9968266560888537,0.9812573213588441,4.666666507720947,0.9774406845585375,0.9968266560888537,0.9870384917517675,0.9902475618904726,1.0,0.9950998869204675
135,15,50,1,2,3,0,3,0,10,4481,0.9887808526551982,1.0,0.9943587814968033,2.6666667461395264,0.9806978470675576,0.9992435703479576,0.989883851629824,0.999341816586222,1.0,0.9996707999561066
135,15,50,1,2,3,0,5,0,10,599995,0.8070892978868439,0.9987347110923661,0.8927426955702167,13.333333015441895,0.8576110706482156,0.9932517924926192,0.9204612077389095,0.8302313445816664,1.0,0.9072419692073751
135,15,50,1,2,3,0,2,0,10,18857,0.8694280078895463,0.9968340117593849,0.9287821323219554,7.333333492279053,0.888663967611336,0.9927634554500226,0.9378337961973937,0.7372713246638748,1.0,0.8487693478812485
135,15,50,1,2,3,0,3,0,10,5888,0.9692250648869114,0.9977099236641221,0.9832612375399661,3.3333332538604736,0.9649317091177556,0.9977099236641221,0.9810471007693752,0.9971053217546203,1.0,0.9985505630505074
135,15,50,1,2,3,0,5,0,10,598899,0.7786483839373164,0.9974905897114178,0.8745874587458747,9.333333015441895,0.8716439867598382,0.9912170639899623,0.9275929549902153,0.8524560774471137,1.0,0.920352269428046
135,15,50,1,2,3,0,2,0,10,20252,0.850204081632653,0.9942720763723151,0.9166116611661167,9.333333015441895,0.859678085018572,0.9942720763723151,0.9220894200973881,0.8393891521853607,1.0,0.9126825078728886
135,15,50,1,2,3,0,3,0,10,62888,0.8640588690937258,0.9982102908277405,0.9263026780153623,10.0,0.8775108310358409,0.9968680089485459,0.9333891914537077,0.6580530973451327,1.0,0.7937660119555936
135,15,50,1,2,3,0,5,0,10,40816,0.8023658395845354,0.9910905203136137,0.8867984693877552,5.333333492279053,0.9176941019660113,0.9814682822523164,0.9485104184604787,0.9572750210260723,1.0,0.9781711928497765
135,15,50,1,2,3,0,2,0,10,1589,0.972939729397294,1.0,0.986284289276808,4.0,0.9846473029045644,1.0,0.9922642692870584,0.9989542483660131,1.0,0.999476850640858
135,15,50,1,2,3,0,3,0,10,5709,0.9596363636363636,1.0,0.9794024865466692,8.666666984558105,0.9762962962962963,0.9988632057597575,0.9874508334894176,0.9991249179610588,1.0,0.9995622674545852
135,15,50,1,2,3,0,5,0,10,231233,0.8499331550802139,1.0,0.9188798554652213,10.0,0.9198113207547169,0.9968541093197011,0.9567842989243254,0.9089750591662116,1.0,0.9523173755483502
135,15,50,1,2,3,0,2,0,10,1362,0.9935222672064777,1.0,0.9967506092607635,0.0,0.9935222672064777,1.0,0.9967506092607635,0.9958049292081804,1.0,0.997898055701524
135,15,50,1,2,3,0,3,0,10,44748,0.9030258840685381,0.9876395534290271,0.9434393448866883,6.0,0.9205347196435202,0.9884370015948963,0.9532782157277447,0.6997222676033328,1.0,0.8233371780084583
