Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Number of Negation Constraints, Number of Aggregate Constraints, Number of Parameter Constraints, Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,50,1,2,3,3,0,0,10,477,0.9984718826405868,1.0,0.9992353570882399,1.0,0.9984718826405868,1.0,0.9992353570882399,0.6752851318573566,1.0,0.8061733719425789
135,15,50,1,2,3,5,0,0,10,650,0.9989221815046346,1.0,0.9994608001725439,1.0,0.9989221815046346,1.0,0.9994608001725439,0.6333985649054142,1.0,0.77555910543131
135,15,50,1,2,3,2,0,0,10,508,0.9975799132802259,1.0,0.9987884906612822,1.0,0.9975799132802259,1.0,0.9987884906612822,0.6902058381293099,1.0,0.8167121690849413
135,15,50,1,2,3,3,0,0,10,497,0.9990512333965844,1.0,0.9995253915519696,1.0,0.9990512333965844,1.0,0.9995253915519696,0.6585540078575437,1.0,0.7941303144034948
135,15,50,1,2,3,5,0,0,10,478,0.9986384583158777,1.0,0.9993187653932819,1.0,0.9986384583158777,1.0,0.9993187653932819,0.6452310322288702,1.0,0.7843652588472588
135,15,50,1,2,3,2,0,0,10,467,0.9986814078506948,1.0,0.9993402689672671,1.0,0.9986814078506948,1.0,0.9993402689672671,0.6894265140133657,1.0,0.8161663242464199
135,15,50,1,2,3,3,0,0,10,594,0.9986529893275308,1.0,0.9993260407486131,1.0,0.9986529893275308,1.0,0.9993260407486131,0.6649819494584838,1.0,0.7987857762359063
135,15,50,1,2,3,5,0,0,10,571,0.9989513422818792,1.0,0.9994753960759627,1.0,0.9989513422818792,1.0,0.9994753960759627,0.6450529060729151,1.0,0.7842336300451165
135,15,50,1,2,3,2,0,0,10,422,0.9965027977617905,1.0,0.9982483359191232,1.0,0.9965027977617905,1.0,0.9982483359191232,0.6943983402489626,1.0,0.8196400146932779
135,15,50,1,2,3,3,0,0,10,598,0.9981492905613819,0.9993823347745522,0.9987654320987654,1.0,0.9981492905613819,0.9993823347745522,0.9987654320987654,0.6699605754953664,1.0,0.8023669364728968
135,15,50,1,2,3,5,0,0,10,460,0.9971696059220553,1.0,0.9985827973400196,1.0,0.9971696059220553,1.0,0.9985827973400196,0.6275032706048103,1.0,0.7711238213015922
135,15,50,1,2,3,2,0,0,10,586,0.9964552973611658,0.999407465929291,0.9979291983039147,1.0,0.9964552973611658,0.999407465929291,0.9979291983039147,0.7018996842486671,1.0,0.8248426047020895
135,15,50,1,2,3,3,0,0,10,423,0.9988455079764903,1.0,0.99942242058283,1.0,0.9988455079764903,1.0,0.99942242058283,0.6592087032380561,1.0,0.7946061299601026
135,15,50,1,2,3,5,0,0,10,605,0.998469700061212,1.0,0.9992342641278268,1.0,0.998469700061212,1.0,0.9992342641278268,0.6603925111679968,1.0,0.7954655380894801
135,15,50,1,2,3,2,0,0,10,608,0.998494278257378,1.0,0.9992465719021548,1.0,0.998494278257378,1.0,0.9992465719021548,0.688533941814033,1.0,0.8155405405405405
135,15,50,1,2,3,3,0,0,10,589,0.9978527607361963,1.0,0.9989252264701367,1.0,0.9978527607361963,1.0,0.9989252264701367,0.6754983856915903,1.0,0.8063253196305132
135,15,50,1,2,3,5,0,0,10,495,0.9988250373851741,1.0,0.9994121733554214,1.0,0.9988250373851741,1.0,0.9994121733554214,0.64005871633934,1.0,0.7805314650782383
135,15,50,1,2,3,2,0,0,10,561,0.9991802438774464,1.0,0.9995899538698103,1.0,0.9991802438774464,1.0,0.9995899538698103,0.6823620823620824,1.0,0.8111952706447442
135,15,50,1,2,3,3,0,0,10,464,0.9990821945747501,1.0,0.99954088659899,1.0,0.9990821945747501,1.0,0.99954088659899,0.6764417873524713,1.0,0.8069970486965077
135,15,50,1,2,3,5,0,0,10,615,0.9992538108943609,0.9994668941251733,0.9993603411513858,1.0,0.9992538108943609,0.9994668941251733,0.9993603411513858,0.6428897338403042,1.0,0.7826328457693019
135,15,50,1,2,3,2,0,0,10,476,0.9993736298152208,0.9992693110647182,0.9993214677175217,1.0,0.9993736298152208,0.9992693110647182,0.9993214677175217,0.6721192670048659,1.0,0.8039130703981178
135,15,50,1,2,3,3,0,0,10,521,0.9991524525903168,1.0,0.9995760466348702,1.0,0.9991524525903168,1.0,0.9995760466348702,0.6588508116464828,1.0,0.7943460702081392
135,15,50,1,2,3,5,0,0,10,602,0.9975832143249478,1.0,0.9987901451825781,1.0,0.9975832143249478,1.0,0.9987901451825781,0.6244938765308673,1.0,0.7688473136808419
135,15,50,1,2,3,2,0,0,10,484,0.9979939819458375,1.0,0.998995983935743,1.0,0.9979939819458375,1.0,0.998995983935743,0.6913061520904659,1.0,0.817481981291213
135,15,50,1,2,3,3,0,0,10,566,0.9987825910520443,1.0,0.9993909247792102,1.0,0.9987825910520443,1.0,0.9993909247792102,0.676413454656988,1.0,0.8069768860157346
135,15,50,1,2,3,5,0,0,10,633,0.9992120666366502,1.0,0.9996058780474073,1.0,0.9992120666366502,1.0,0.9996058780474073,0.6169924812030075,1.0,0.7631358690597974
135,15,50,1,2,3,2,0,0,10,598,0.9979917662415905,1.0,0.998994873856669,1.0,0.9979917662415905,1.0,0.998994873856669,0.6914208558371416,1.0,0.8175621737795518
135,15,50,1,2,3,3,0,0,10,562,0.9990926504687972,1.0,0.9995461193201877,1.0,0.9990926504687972,1.0,0.9995461193201877,0.6802170796641409,1.0,0.8096776159424706
135,15,50,1,2,3,5,0,0,10,442,0.9986334489645748,1.0,0.9993162572976385,1.0,0.9986334489645748,1.0,0.9993162572976385,0.646674703636729,1.0,0.7854310292233544
135,15,50,1,2,3,2,0,0,10,408,0.9971141407105185,1.0,0.9985549853007125,1.0,0.9971141407105185,1.0,0.9985549853007125,0.6959691698781377,1.0,0.8207332801080882
135,15,50,1,2,3,3,0,0,10,606,0.9996779733791327,1.0,0.9998389607601053,1.0,0.9996779733791327,1.0,0.9998389607601053,0.6524764211719837,1.0,0.7896952874029255
135,15,50,1,2,3,5,0,0,10,626,0.9987316351337068,1.0,0.9993654151242729,1.0,0.9987316351337068,1.0,0.9993654151242729,0.6440728874649579,1.0,0.7835089215029535
135,15,50,1,2,3,2,0,0,10,583,0.9976814516129032,1.0,0.9988393803300197,1.0,0.9976814516129032,1.0,0.9988393803300197,0.6910793237971391,1.0,0.8173233674756236
135,15,50,1,2,3,3,0,0,10,466,0.9994664959453692,1.0,0.9997331767970543,1.0,0.9994664959453692,1.0,0.9997331767970543,0.6544502617801047,1.0,0.7911392405063291
135,15,50,1,2,3,5,0,0,10,645,0.9985736229975861,1.0,0.9992863024979413,1.0,0.9985736229975861,1.0,0.9992863024979413,0.6246546440950419,1.0,0.7689691422917568
135,15,50,1,2,3,2,0,0,10,504,0.9967452411480422,0.9981234567901235,0.9974338728780102,1.0,0.9967452411480422,0.9981234567901235,0.9974338728780102,0.7010818683033392,1.0,0.8242776333893899
135,15,50,1,2,3,3,0,0,10,619,0.9976458546571136,1.0,0.9988215401957268,1.0,0.9976458546571136,1.0,0.9988215401957268,0.6725442093427374,1.0,0.8042169595110772
135,15,50,1,2,3,5,0,0,10,519,0.9987481744210307,1.0,0.9993736951983299,1.0,0.9987481744210307,1.0,0.9993736951983299,0.6472743700431683,1.0,0.7858731754883139
135,15,50,1,2,3,2,0,0,10,645,0.9991699522722557,1.0,0.9995848038198049,1.0,0.9991699522722557,1.0,0.9995848038198049,0.6771190847633906,1.0,0.8074788378654926
135,15,50,1,2,3,3,0,0,10,395,0.9987308302485457,1.0,0.9993650121706001,1.0,0.9987308302485457,1.0,0.9993650121706001,0.6597794723825227,1.0,0.7950206438394436
135,15,50,1,2,3,5,0,0,10,614,0.998286203941731,1.0,0.9991423670668954,1.0,0.998286203941731,1.0,0.9991423670668954,0.6339330585988542,1.0,0.7759596456692914
135,15,50,1,2,3,2,0,0,10,481,0.9981929525148078,1.0,0.9990956591639871,1.0,0.9981929525148078,1.0,0.9990956591639871,0.6929770043505282,1.0,0.8186490455212921
135,15,50,1,2,3,3,0,0,10,511,0.9981976569540403,1.0,0.9990980156343957,1.0,0.9981976569540403,1.0,0.9990980156343957,0.6861048535736227,1.0,0.8138341481189081
135,15,50,1,2,3,5,0,0,10,584,0.9989090115644774,0.9998907939281424,0.9993996616274629,1.0,0.9989090115644774,0.9998907939281424,0.9993996616274629,0.6275872488291283,1.0,0.7711872273275783
135,15,50,1,2,3,2,0,0,10,389,0.9974954918853937,1.0,0.9987461758363008,1.0,0.9974954918853937,1.0,0.9987461758363008,0.692395714137106,1.0,0.818243284774725
135,15,50,1,2,3,3,0,0,10,591,0.9993740872105153,1.0,0.9996869456328916,1.0,0.9993740872105153,1.0,0.9996869456328916,0.6654689184333453,1.0,0.7991370010787486
135,15,50,1,2,3,5,0,0,10,465,0.9987000324991875,1.0,0.999349593495935,1.0,0.9987000324991875,1.0,0.999349593495935,0.6319931822739122,1.0,0.7745046843802795
135,15,50,1,2,3,2,0,0,10,511,0.9972749293500202,1.0,0.9986356056394967,1.0,0.9972749293500202,1.0,0.9986356056394967,0.6895370562590825,1.0,0.8162437795662593
135,15,50,1,2,3,3,0,0,10,617,0.9987479131886478,1.0,0.999373564418459,1.0,0.9987479131886478,1.0,0.999373564418459,0.6656251600676125,1.0,0.7992496463497141
135,15,50,1,2,3,5,0,0,10,646,0.9992534129692833,1.0,0.9996265670845559,1.0,0.9992534129692833,1.0,0.9996265670845559,0.6436015632828941,1.0,0.783160076822242
135,15,50,1,2,3,2,0,0,10,501,0.9976905311778291,1.0,0.9988439306358381,1.0,0.9976905311778291,1.0,0.9988439306358381,0.6902157085354526,1.0,0.8167190791683204
135,15,50,1,2,3,3,0,0,10,510,0.9991628296358309,1.0,0.9995812395309883,1.0,0.9991628296358309,1.0,0.9995812395309883,0.6667009249743062,1.0,0.8000246654745021
135,15,50,1,2,3,5,0,0,10,526,0.999231950844854,1.0,0.9996158278908952,1.0,0.999231950844854,1.0,0.9996158278908952,0.6256745952428543,1.0,0.7697414932530047
135,15,50,1,2,3,2,0,0,10,558,0.9980131134512219,1.0,0.999005568814638,1.0,0.9980131134512219,1.0,0.999005568814638,0.6965176715176715,1.0,0.8211145491866058
135,15,50,1,2,3,3,0,0,10,550,0.9988723731419785,0.9991796554552912,0.9990259906700159,1.0,0.9988723731419785,0.9991796554552912,0.9990259906700159,0.6739556472408458,1.0,0.8052252141228665
135,15,50,1,2,3,5,0,0,10,591,0.9981450948062655,1.0,0.9990716864363073,1.0,0.9981450948062655,1.0,0.9990716864363073,0.6565293383270911,1.0,0.7926564572531051
135,15,50,1,2,3,2,0,0,10,460,0.9978654198007725,1.0,0.9989315695751717,1.0,0.9978654198007725,1.0,0.9989315695751717,0.685394417788784,1.0,0.8133341496265458
135,15,50,1,2,3,3,0,0,10,604,0.9988671472708548,1.0,0.9994332526147663,1.0,0.9988671472708548,1.0,0.9994332526147663,0.6718524623943952,1.0,0.8037221914093795
135,15,50,1,2,3,5,0,0,10,573,0.9984095005831831,1.0,0.9992041173661591,1.0,0.9984095005831831,1.0,0.9992041173661591,0.6406046651316448,1.0,0.7809372711740298
135,15,50,1,2,3,2,0,0,10,624,0.9992847655052621,1.0,0.9996422548167834,1.0,0.9992847655052621,1.0,0.9996422548167834,0.6851533614539395,1.0,0.8131644004944376
135,15,50,1,2,3,3,0,0,10,438,0.998559670781893,1.0,0.9992793163801091,1.0,0.998559670781893,1.0,0.9992793163801091,0.6714045544857099,1.0,0.8034016093635699
135,15,50,1,2,3,5,0,0,10,546,0.9983917658411064,1.0,0.9991952357959119,1.0,0.9983917658411064,1.0,0.9991952357959119,0.6347344575887239,1.0,0.7765597093059063
135,15,50,1,2,3,2,0,0,10,505,0.9979039824333766,1.0,0.9989508917420193,1.0,0.9979039824333766,1.0,0.9989508917420193,0.6975962781080383,1.0,0.821863580998782
135,15,50,1,2,3,3,0,0,10,502,0.9988421052631579,1.0,0.9994207172573595,1.0,0.9988421052631579,1.0,0.9994207172573595,0.6594478086831571,1.0,0.7947798119742702
135,15,50,1,2,3,5,0,0,10,475,0.9972597178524307,1.0,0.9986279790639768,1.0,0.9972597178524307,1.0,0.9986279790639768,0.6653434500778855,1.0,0.7990465270653551
135,15,50,1,2,3,2,0,0,10,590,0.9971862124409607,1.0,0.9985911240817148,1.0,0.9971862124409607,1.0,0.9985911240817148,0.6909109827792519,1.0,0.8172056244423249
135,15,50,1,2,3,3,0,0,10,412,0.9986257928118393,1.0,0.9993124239699581,1.0,0.9986257928118393,1.0,0.9993124239699581,0.6581100429535692,1.0,0.7938074384752976
135,15,50,1,2,3,5,0,0,10,628,0.9984984984984985,1.0,0.9992486851990984,1.0,0.9984984984984985,1.0,0.9992486851990984,0.6353112157963315,1.0,0.7769912046826637
135,15,50,1,2,3,2,0,0,10,550,0.9977589895079964,1.0,0.9988782378135835,1.0,0.9977589895079964,1.0,0.9988782378135835,0.6823504918544735,1.0,0.8111870804071404
135,15,50,1,2,3,3,0,0,10,527,0.9988133764832794,1.0,0.9994063360138162,1.0,0.9988133764832794,1.0,0.9994063360138162,0.646884121050745,1.0,0.7855854735402027
135,15,50,1,2,3,5,0,0,10,606,0.9983189745744905,1.0,0.9991587802313354,1.0,0.9983189745744905,1.0,0.9991587802313354,0.6450377833753148,1.0,0.7842224536044589
135,15,50,1,2,3,2,0,0,10,501,0.9979816328590171,1.0,0.9989897969491869,1.0,0.9979816328590171,1.0,0.9989897969491869,0.6894104237902808,1.0,0.8161550492195407
135,15,50,1,2,3,3,0,0,10,517,0.9982677807214184,0.9991840897501275,0.9987257250624396,1.0,0.9982677807214184,0.9991840897501275,0.9987257250624396,0.6718589348139009,1.0,0.8037268226684297
135,15,50,1,2,3,5,0,0,10,546,0.9983103071265281,1.0,0.9991544391942302,1.0,0.9983103071265281,1.0,0.9991544391942302,0.6723600924344418,1.0,0.8040853109041755
135,15,50,1,2,3,2,0,0,10,424,0.9970291146761735,1.0,0.9985123475156205,1.0,0.9970291146761735,1.0,0.9985123475156205,0.6952207792207792,1.0,0.8202126681579995
135,15,50,1,2,3,3,0,0,10,562,0.9973542281469421,1.0,0.9986753617281434,1.0,0.9973542281469421,1.0,0.9986753617281434,0.6760642941508755,1.0,0.8067283534530303
135,15,50,1,2,3,5,0,0,10,640,0.9988294136426519,1.0,0.9994143640526008,1.0,0.9988294136426519,1.0,0.9994143640526008,0.6397830562948827,1.0,0.7803264631121183
135,15,50,1,2,3,2,0,0,10,570,0.9989747795776092,1.0,0.9994871268848087,1.0,0.9989747795776092,1.0,0.9994871268848087,0.6836597243808932,1.0,0.8121115145547418
135,15,50,1,2,3,3,0,0,10,636,0.9981343283582089,1.0,0.9990662931839402,1.0,0.9981343283582089,1.0,0.9990662931839402,0.6671451273901676,1.0,0.8003443928538483
135,15,50,1,2,3,5,0,0,10,620,0.9984721939295172,0.9995921280717854,0.9990318471337579,1.0,0.9984721939295172,0.9995921280717854,0.9990318471337579,0.6606332560250076,1.0,0.7956401615204785
135,15,50,1,2,3,2,0,0,10,424,0.9973,0.9996992782678428,0.9984981978374049,1.0,0.9973,0.9996992782678428,0.9984981978374049,0.6959962513666892,1.0,0.8207521105141979
135,15,50,1,2,3,3,0,0,10,641,0.9997904003353595,1.0,0.9998951891835237,1.0,0.9997904003353595,1.0,0.9998951891835237,0.6610700349147669,1.0,0.7959568483199901
135,15,50,1,2,3,5,0,0,10,409,0.9985191453353078,1.0,0.9992590240287923,1.0,0.9985191453353078,1.0,0.9992590240287923,0.641294530858003,1.0,0.7814496652502216
135,15,50,1,2,3,2,0,0,10,537,0.9989613626921479,1.0,0.9994804115140808,1.0,0.9989613626921479,1.0,0.9994804115140808,0.6762441217508139,1.0,0.8068563677282117
135,15,50,1,2,3,3,0,0,10,445,0.9984293193717277,1.0,0.9992140424417082,1.0,0.9984293193717277,1.0,0.9992140424417082,0.6619530689619838,1.0,0.7965965842530366
135,15,50,1,2,3,5,0,0,10,472,0.9984162179284131,0.999260276867801,0.9988380690820746,1.0,0.9984162179284131,0.999260276867801,0.9988380690820746,0.6446840521564694,1.0,0.7839609696600092
