Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,50,1,2,5,10,932,0.990049012327343,1.0,0.9949996268378237,2.0,0.9944800835446815,1.0,0.997232403321116,0.9999366326595273,1.0,0.9999683153258768
135,15,50,1,2,2,10,4825,0.8592889334001002,1.0,0.9243199569081605,10.0,0.9915636195539119,1.0,0.9957639412754599,1.0,0.7575126450461173,0.862028102251566
135,15,50,1,2,3,10,1212,0.982842902329148,0.9981504915798696,0.9904375543320776,5.333333492279053,0.995047101097407,0.9973717511924463,0.9962080700048614,1.0,0.9056617647058823,0.950495813558668
135,15,50,1,2,5,10,958,0.9924073246985261,1.0,0.9961891952477023,2.0,0.9940351923650462,1.0,0.9970086748429554,1.0,1.0,1.0
135,15,50,1,2,2,10,1041,0.9607564339542158,1.0,0.9799854967367658,4.666666507720947,0.9929463629684055,1.0,0.9964606990119452,1.0,0.9632747681795998,0.9812938909949662
135,15,50,1,2,3,10,1043,0.9811466692448999,0.998524057856932,0.9897590948990539,5.333333492279053,0.9929625647541784,0.9996064154285152,0.996273413749142,1.0,0.9148005338869939,0.9555047825581846
135,15,50,1,2,5,10,923,0.9934426229508196,1.0,0.9967105263157894,0.0,0.9934426229508196,1.0,0.9967105263157894,1.0,1.0,1.0
135,15,50,1,2,2,10,373,0.976305397103993,1.0,0.9880106571936057,1.3333333730697632,0.9912384912384913,1.0,0.9955999701692893,1.0,1.0,1.0
135,15,50,1,2,3,10,478,0.9956188389923329,0.9997000599880024,0.9976552756298329,3.3333332538604736,0.9988016776512882,1.0,0.999400479616307,1.0,0.9640190088255262,0.9816799170411339
135,15,50,1,2,5,10,888,0.9906375390102541,1.0,0.9952967525195968,2.0,0.9925550923168552,1.0,0.9962636377223135,1.0,0.8861721669728257,0.9396514088054538
135,15,50,1,2,2,10,10135,0.7896794970096611,1.0,0.88248147037402,8.0,0.9681331077270163,1.0,0.9838085685628314,1.0,0.6700890963088671,0.8024590996849914
135,15,50,1,2,3,10,623,0.996219281663516,0.9992016764793933,0.997708250298924,1.3333333730697632,0.9972100438421682,0.9987027242790141,0.9979558258961957,1.0,0.9502745806063342,0.9745033751205401
135,15,50,1,2,5,10,865,0.9862405681313804,1.0,0.993072625698324,2.6666667461395264,0.9910793933987511,1.0,0.9955197132616488,1.0,0.9024436807941962,0.9487205218263923
