Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,500,1,2,3,10,575,0.9971080973274831,1.0,0.9985519548609377,2.0,0.9975059856344772,1.0,0.9987514358487739,0.9993976810721277,1.0,0.9996987498117186
135,15,5,1,2,3,10,712,0.9894570893684107,1.0,0.994700609182309,4.666666507720947,0.9963231640663818,0.998406691894045,0.9973638398408357,1.0,0.9745667341886113,0.9871195714122877
135,15,50,1,2,3,10,863,0.9855115026921194,0.9980172499256469,0.9917249532065806,5.333333492279053,0.9936827558977396,0.9980172499256469,0.9958452863784746,1.0,0.9158801498127341,0.9560933651327365
135,15,500,1,2,3,10,569,0.9969092721834496,1.0,0.9984522442458436,1.3333333730697632,0.9969092721834496,1.0,0.9984522442458436,0.9999246590823476,1.0,0.9999623281220569
135,15,5,1,2,3,10,1528,0.9717557251908397,0.9991170411066418,0.9852464567310019,7.333333492279053,0.9945280437756497,0.9985284018444031,0.9965242081558721,1.0,0.9044090403853279,0.9498054474708172
135,15,50,1,2,3,10,600,0.9931466030989273,1.0,0.996561518911646,1.3333333730697632,0.9931466030989273,1.0,0.996561518911646,1.0,0.9638400240565329,0.9815871071469586
135,15,500,1,2,3,10,871,0.9899398362757669,1.0,0.9949444885011894,2.6666667461395264,0.9924789708065315,0.999202949088373,0.9958296097706286,1.0,0.9219815633665592,0.9594072918697601
135,15,5,1,2,3,10,813,0.982391640866873,0.9977400019652157,0.9900063374445474,4.666666507720947,0.9939376161142075,0.9988208705905474,0.9963732601450696,1.0,0.9344919786096256,0.9661368348306841
135,15,50,1,2,3,10,571,0.9941340226685226,1.0,0.9970583836067209,1.3333333730697632,0.9934426229508196,1.0,0.9967105263157894,1.0,0.9454437342054408,0.9719569037976618
135,15,500,1,2,3,10,622,0.9977082502989238,1.0,0.9988528106139957,2.6666667461395264,0.9971121290579565,1.0,0.9985539765644478,1.0,0.924163848177377,0.9605874770516778
135,15,5,1,2,3,10,1217,0.982838411106826,1.0,0.9913449382475931,8.666666984558105,0.99502196193265,1.0,0.9975047702920887,1.0,0.9328214971209213,0.9652432969215491
135,15,50,1,2,3,10,752,0.9937918801734332,1.0,0.9968862748974449,4.0,0.995358483112779,0.9994050570153694,0.9973776656276286,1.0,0.9195564816192886,0.9580926536150417
135,15,500,1,2,3,10,1983,0.9707454289732771,1.0,0.9851555809306309,8.0,0.9973988439306358,1.0,0.9986977282592968,1.0,0.9029975931733645,0.9490265215391691
135,15,5,1,2,3,10,1230,0.9799571901148083,0.9989090548447882,0.9893423702175728,6.666666507720947,0.9910388970950271,0.9981156401864525,0.994564680304378,1.0,0.9410626581336509,0.9696365588099985
135,15,50,1,2,3,10,491,0.9973107569721116,1.0,0.9986535680446816,0.6666666865348816,0.9972114331241908,1.0,0.998603769821482,1.0,0.9789552799699361,0.9893657424990505
135,15,500,1,2,3,10,573,0.9970086748429554,1.0,0.9985020970641102,1.3333333730697632,0.9970086748429554,1.0,0.9985020970641102,1.0,1.0,1.0
135,15,5,1,2,3,10,949,0.9792631172839507,0.9911167512690355,0.9851542790607414,3.3333332538604736,0.9889040295892544,0.9918000780944943,0.990349936640998,1.0,0.9061419639573373,0.9507602068380026
135,15,50,1,2,3,10,507,0.9968168705858947,0.9990030904196989,0.997908783110934,2.0,0.9973123631296038,0.9988037085036388,0.998057478706978,1.0,0.9235001507386192,0.9602288311586538
135,15,500,1,2,3,10,450,0.9988013185495954,1.0,0.999400299850075,1.3333333730697632,0.999500199920032,1.0,0.999750037494376,1.0,1.0,1.0
135,15,5,1,2,3,10,778,0.9868291724002359,1.0,0.9933709310378945,2.6666667461395264,0.9933709310378945,1.0,0.9966744428450887,0.9997739091114628,0.9914798206278027,0.9956095913542723
135,15,50,1,2,3,10,1390,0.9765000481556391,0.9986210972126465,0.9874366965329179,5.333333492279053,0.9939042375380985,0.9956663055254604,0.9947844912418815,1.0,0.9150152156164181,0.9556218751211194
135,15,500,1,2,3,10,1237,0.9753361060063835,0.999702587488847,0.9873690394595123,4.0,0.9865036674816626,1.0,0.9932059866089011,1.0,0.9218948153674003,0.9593603229437566
135,15,5,1,2,3,10,797,0.9835271317829457,1.0,0.991695163654128,5.333333492279053,0.9915966386554622,0.9998029556650246,0.9956828885400313,1.0,0.9374860293569779,0.9677344921739799
135,15,50,1,2,3,10,601,0.9926536285118635,1.0,0.996313272220008,0.0,0.9926536285118635,1.0,0.996313272220008,1.0,0.9684083540677072,0.98395066457272
135,15,500,1,2,3,10,1635,0.9631003152234378,1.0,0.9812033626145272,2.6666667461395264,0.9848312476298824,1.0,0.992357661444402,1.0,0.8984637893196781,0.9465166461159062
135,15,5,1,2,3,10,1127,0.9808160483007109,0.9965370535272583,0.988614055751865,3.3333332538604736,0.9931027687456893,0.9972296428218067,0.9951619273301738,1.0,0.9379356369568441,0.9679739812511957
135,15,50,1,2,3,10,2535,0.9429607357622922,1.0,0.9706431204769924,3.3333332538604736,0.977626994315056,0.9999062177623558,0.9886411052899995,1.0,0.8831605291383625,0.9379556500607533
135,15,500,1,2,3,10,608,0.9977050488924366,1.0,0.9988512062334548,0.0,0.9977050488924366,1.0,0.9988512062334548,1.0,1.0,1.0
135,15,5,1,2,3,10,747,0.9903333990925232,0.9967239154174526,0.9935183810796101,4.666666507720947,0.9946396664681358,0.9947384096098482,0.9946890355884251,1.0,1.0,1.0
135,15,50,1,2,3,10,571,0.9975064831438261,1.0,0.9987516852249463,1.3333333730697632,0.9973075388911049,1.0,0.9986519546657348,1.0,0.9248489425981873,0.9609574259368255
135,15,500,1,2,3,10,991,0.9872698785742264,1.0,0.9935941657632799,3.3333332538604736,0.9916305632138638,0.9989089466375719,0.9952564482656389,1.0,0.9216582952245296,0.9592322396910233
135,15,5,1,2,3,10,669,0.9915304313571006,1.0,0.9957472060132528,3.3333332538604736,0.996437054631829,1.0,0.9982153480071385,1.0,1.0,1.0
135,15,50,1,2,3,10,1236,0.9775099639400265,1.0,0.988627093430587,5.333333492279053,0.9946890691386636,1.0,0.9973374642978168,1.0,0.9037755251946525,0.9494559765413997
135,15,500,1,2,3,10,1252,0.980067081935793,0.9983404919953144,0.9891193964891919,3.3333332538604736,0.986670530281078,0.9971690745802421,0.9918920231101617,1.0,0.9087758112094395,0.9522080129814936
135,15,5,1,2,3,10,617,0.9934634049717738,1.0,0.996720985691574,3.3333332538604736,0.9973120955699353,0.9987040175456087,0.9980075712293285,1.0,1.0,1.0
135,15,50,1,2,3,10,615,0.9905539702843649,0.9997020854021847,0.9951070034102704,2.0,0.9945366047481872,0.994240317775571,0.994388439191538,1.0,0.9194365777314055,0.9580275674626286
135,15,500,1,2,3,10,943,0.9853315079209857,0.9982167624331286,0.9917322834645669,4.666666507720947,0.9932079929126882,0.9996037249851397,0.9963955957142152,1.0,0.9211330600074543,0.958947695173056
135,15,5,1,2,3,10,749,0.9930569331481849,0.9971118414500548,0.9950802564229986,4.0,0.995630585898709,0.9985061248879593,0.9970662821341554,1.0,0.970274733523495,0.9849131362389515
135,15,50,1,2,3,10,629,0.9954206072672972,1.0,0.9977050488924367,0.0,0.9954206072672972,1.0,0.9977050488924367,1.0,1.0,1.0
135,15,500,1,2,3,10,409,0.9988013185495954,1.0,0.999400299850075,1.3333333730697632,0.9988013185495954,1.0,0.999400299850075,1.0,0.9897412687636721,0.9948441883387671
135,15,5,1,2,3,10,697,0.9911242603550295,0.9993039673859003,0.9951973065306728,4.0,0.998012916045703,0.998806801232972,0.9984097008249677,1.0,1.0,1.0
135,15,50,1,2,3,10,1212,0.9830264672036824,0.9978584639345858,0.9903869378290904,8.666666984558105,0.9965959929974713,0.9974690937408741,0.9970323522257358,1.0,0.9056617647058823,0.950495813558668
135,15,500,1,2,3,10,507,0.9967105263157895,1.0,0.9983525535420099,1.3333333730697632,0.9967105263157895,1.0,0.9983525535420099,0.9997684649224358,0.9796566588520003,0.9896103896103896
135,15,5,1,2,3,10,1129,0.9801529673734146,1.0,0.9899770204859922,4.0,0.9940078585461689,0.9995061240616357,0.9967494089834517,1.0,0.9378068739770867,0.9679054054054054
135,15,50,1,2,3,10,1043,0.9854368932038835,0.9987208501426744,0.9920344035576406,6.0,0.9964622641509434,0.9977368887139624,0.9970991690840258,1.0,0.9148005338869939,0.9555047825581846
135,15,500,1,2,3,10,622,0.9985022466300549,1.0,0.9992505620784412,2.6666667461395264,0.9987016878058524,1.0,0.9993504222255535,1.0,1.0,1.0
