Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
10,5,500,0,0,3,10,341985,0.5234368865973985,1.0,0.6871789585802883,10.0,0.889666547788873,0.99785,0.9406579939668174,1.0,9.943817431511957E-5,1.9885657469550085E-4
10,5,500,0,0,5,10,75940,0.46144971156257836,1.0,0.6314958467769616,10.0,1.0,0.3988477008370475,0.5702517873795462,1.0,1.0,1.0
225,15,5,4,8,2,10,451,0.9801791220085156,1.0,0.9899903610884555,0.6666666865348816,0.9819091042800412,1.0,0.9908719851576995,NaN,NaN,NaN
225,15,5,4,8,3,10,589,0.9943317422434368,1.0,0.9971578160059835,1.3333333730697632,0.9959163346613545,1.0,0.9979539897200459,NaN,NaN,NaN
225,15,5,4,8,5,10,987,0.9928507596067918,1.0,0.9964125560538116,0.6666666865348816,0.9929986593177417,1.0,0.9964870319156887,NaN,NaN,NaN
195,15,5,3,6,2,10,418,0.9757203451806348,0.9998501199040767,0.9876378710489303,4.0,0.9941851796630387,0.999400479616307,0.9967860079228642,NaN,NaN,NaN
195,15,5,3,6,3,10,552,0.9958171496862862,0.9993004197481511,0.9975557440015962,0.6666666865348816,0.9954206072672972,0.9993004197481511,0.9973567403122039,NaN,NaN,NaN
195,15,5,3,6,5,10,991,0.9935906990609629,1.0,0.996785046728972,2.0,0.9937388193202147,1.0,0.996859578286227,NaN,NaN,NaN
165,15,5,2,4,2,10,567,0.9774392030471726,0.9983540326200808,0.9877859204974461,3.3333332538604736,0.9885875203794279,0.9980547658237319,0.9932985852568876,1.0,0.9852832965415746,0.9925871015567086
165,15,5,2,4,3,10,779,0.9899635934271377,0.9969282600079271,0.9934337200691188,5.333333492279053,0.9919076285404125,0.9959373761395165,0.9939184177997528,1.0,0.9162260778911311,0.9562818171219835
165,15,5,2,4,5,10,937,0.9943317422434368,1.0,0.9971578160059835,2.0,0.9928507596067918,1.0,0.9964125560538116,1.0,1.0,1.0
135,15,5,1,2,2,10,3773,0.9114403859407305,0.9997480156230314,0.9535540467463799,4.0,0.969574780058651,0.9997480156230314,0.9844302462626389,1.0,0.8368370504748692,0.911171788764306
135,15,5,1,2,3,10,876,0.988502358490566,0.999205324327009,0.9938250259348911,5.333333492279053,0.9931831653823355,0.9986093175722658,0.9958888503640596,1.0,0.9588588588588589,0.9789973938371915
