Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
20,5,50,1,2,3,10,7615,0.9092045353093474,1.0,0.9524433013794716,8.666666984558105,0.9850082212979979,1.0,0.9924474979291528,1.0,0.692358902285672,0.8182175794396608
135,15,50,1,2,3,10,1236,0.976303317535545,0.9999029220464033,0.9879622080475756,3.3333332538604736,0.9872360844529751,0.9986409086496457,0.992905747792095,1.0,0.9037755251946525,0.9494559765413997
495,30,50,1,2,3,10,299,0.9904074367088608,1.0,0.9951806031698712,1.3333333730697632,0.9904074367088608,1.0,0.9951806031698712,1.0,0.9640687120246043,0.9817056868960776
20,5,50,1,2,3,10,1859,0.9920721434942028,0.9978072361208014,0.9949314251639834,4.666666507720947,0.9971104025508171,0.9974085517791289,0.9972594548806617,1.0,0.9954713563287795,0.9977305393751418
135,15,50,1,2,3,10,615,0.9916280902196395,0.9998013902681231,0.9956979676605845,2.0,0.9932726553225169,0.997020854021847,0.9951432252948756,1.0,0.9194365777314055,0.9580275674626286
495,30,50,1,2,3,10,251,0.9966111830957839,1.0,0.998302715654952,2.0,0.9973070017953322,1.0,0.9986516853932585,1.0,0.9656906906906907,0.9825459267463621
20,5,50,1,2,3,10,210214,0.44871094332124584,0.9997786386275594,0.6194198724542275,8.0,0.6125529934856788,0.9835085777531821,0.7549221587409468,0.0,0.0,NaN
135,15,50,1,2,3,10,629,0.9932452567795769,1.0,0.9966111830957839,0.6666666865348816,0.9932452567795769,1.0,0.9966111830957839,1.0,1.0,1.0
495,30,50,1,2,3,10,262,0.9955197132616488,1.0,0.9977548271216884,1.3333333730697632,0.9955197132616488,1.0,0.9977548271216884,0.9996983181235387,0.9998491363053481,0.9997737215266255
20,5,50,1,2,3,10,7387,0.9211622013034033,1.0,0.9589634864546526,6.0,0.973218555714969,0.9998034784317579,0.986331911593641,1.0,0.6909698996655519,0.8172468354430381
135,15,50,1,2,3,10,1212,0.979083094555874,0.9978584639345858,0.988381622716097,8.666666984558105,0.9973720070079813,0.9974690937408741,0.9974205480118752,1.0,0.9056617647058823,0.950495813558668
495,30,50,1,2,3,10,222,0.997407001097038,1.0,0.9987018174555622,0.6666666865348816,0.997407001097038,1.0,0.9987018174555622,0.999546485260771,0.9999243856332704,0.9997353997353997
20,5,50,1,2,3,10,10984,0.8748622297583722,0.9998062203274877,0.9331705552541146,8.0,0.972381939862381,0.9995155508187191,0.9857620640229336,1.0,0.6849104859335038,0.8129933211900424
135,15,50,1,2,3,10,1043,0.9837382634788501,1.0,0.9918024787742754,4.666666507720947,0.9939364303178484,1.0,0.9969589954875416,1.0,0.9148005338869939,0.9555047825581846
495,30,50,1,2,3,10,297,0.9955197132616488,1.0,0.9977548271216884,2.0,0.9961147638971907,1.0,0.9980536008384489,0.9993270524899058,1.0,0.9996634129922585
20,5,50,1,2,3,10,1894,0.9986018176370718,1.0,0.9993004197481512,2.6666667461395264,0.9992005596082743,1.0,0.9996001199640108,0.9959113886410943,1.0,0.9979515065738016
135,15,50,1,2,3,10,478,0.9970092712590968,0.9999000199960008,0.9984525532870764,3.3333332538604736,0.9989013184178985,0.9999000199960008,0.9994004197062055,1.0,0.9640190088255262,0.9816799170411339
495,30,50,1,2,3,10,280,0.9924573243350536,1.0,0.9962143853357243,1.3333333730697632,0.9949258780220873,1.0,0.9974564859607999,1.0,0.9607902050627206,0.9800030646644192
20,5,50,1,2,3,10,137442,0.44751845405989316,0.998861429241176,0.6181072176057358,8.0,0.6550898744467528,0.9714687562788829,0.7825101826126831,1.0,0.4546103575155143,0.625061350851361
135,15,50,1,2,3,10,623,0.9948371723590151,0.9999002095599242,0.997362265465585,0.6666666865348816,0.9949339425846826,0.9995010477996208,0.9972122660294702,1.0,0.9502745806063342,0.9745033751205401
495,30,50,1,2,3,10,278,0.9950263602904605,1.0,0.9975069804547267,2.0,0.9955214968152867,1.0,0.9977557229065882,1.0,0.9655457759723163,0.9824709124311084
20,5,50,1,2,3,10,1789,0.9983027156549521,1.0,0.9991506370222334,2.0,0.9990008991907283,1.0,0.999500199920032,1.0,0.8364637549973599,0.9109504641419536
135,15,50,1,2,3,10,2961,0.9300235581537387,1.0,0.9637432188065099,4.0,0.9764565775009161,1.0,0.9880880648899188,1.0,0.8853125892092493,0.939167960025741
495,30,50,1,2,3,10,340,0.9878901250369203,1.0,0.9939081769105047,2.6666667461395264,0.9903181189488244,0.9990033884791708,0.9946417940067475,1.0,0.9622910263138166,0.9807831900668578
20,5,50,1,2,3,10,271792,0.4640801930573603,1.0,0.6339546088500063,9.333333015441895,0.6167689290910241,0.97505,0.7555891355728622,0.0,0.0,NaN
135,15,50,1,2,3,10,508,0.9965118596770979,1.0,0.9982528827434732,2.0,0.9965118596770979,1.0,0.9982528827434732,1.0,0.9603240081002025,0.9797604927880017
495,30,50,1,2,3,10,300,0.9904969313007326,1.0,0.9952257807837677,3.3333332538604736,0.9939363817097415,0.9993004197481511,0.996611183095784,1.0,0.9606530243755642,0.97993169870688
20,5,50,1,2,3,10,235238,0.4539279946803458,1.0,0.6244160595864232,10.0,0.6306956052844432,0.9790729308360364,0.7671873078342147,0.0,0.0,NaN
135,15,50,1,2,3,10,620,0.9947274174293673,1.0,0.997356740312204,2.0,0.9955197132616488,1.0,0.9977548271216884,0.9996228976544234,1.0,0.9998114132689624
495,30,50,1,2,3,10,454,0.9851938437560881,0.9976326691655159,0.9913742403450303,4.0,0.9923235901978151,0.9945748668376405,0.9934479531011379,1.0,0.9543615107913669,0.9766478776026688
20,5,50,1,2,3,10,157909,0.4351036952719398,1.0,0.6063724826372096,8.666666984558105,0.6524562864279767,1.0,0.789680540159226,1.0,0.44014269226733815,0.6112487250473554
135,15,50,1,2,3,10,602,0.9976107516177203,1.0,0.9988039469749825,4.666666507720947,0.9976107516177203,1.0,0.9988039469749825,1.0,0.9500710068017042,0.9743963204292833
495,30,50,1,2,3,10,279,0.9969092721834496,1.0,0.9984522442458436,0.6666666865348816,0.9969092721834496,1.0,0.9984522442458436,1.0,1.0,1.0
20,5,50,1,2,3,10,8271,0.900417517988807,0.9955800019644435,0.9456105980035451,6.0,0.9607582938388626,0.9955800019644435,0.977859244609522,1.0,0.6912746698323193,0.8174599692915113
135,15,50,1,2,3,10,3616,0.920777663583419,0.9988850692186193,0.9582423459155933,8.0,0.9910590837865241,0.9989779801170677,0.9950027762354248,1.0,0.8734276170847843,0.9324380713933462
495,30,50,1,2,3,10,268,0.996313272220008,1.0,0.9981532318442725,0.6666666865348816,0.996313272220008,1.0,0.9981532318442725,1.0,1.0,1.0
20,5,50,1,2,3,10,4542,0.9613291320538527,1.0,0.9802833357674894,6.666666507720947,0.9875196540880503,0.9981128327373858,0.9927879865639201,1.0,0.6950301765889279,0.8200800035166381
135,15,50,1,2,3,10,621,0.9952224544640191,1.0,0.9976055073331338,0.6666666865348816,0.9952224544640191,1.0,0.9976055073331338,1.0,0.9571931928930205,0.9781284712912247
495,30,50,1,2,3,10,289,0.9970092712590968,1.0,0.9985023961661341,0.6666666865348816,0.9970092712590968,1.0,0.9985023961661341,1.0,0.993024302430243,0.9964999435474765
20,5,50,1,2,3,10,5517,0.9288123233980494,1.0,0.9630924814517272,7.333333492279053,0.9908595877090626,1.0,0.9954088111751489,1.0,0.6152705707931801,0.7618173474070675
135,15,50,1,2,3,10,567,0.9943317422434368,1.0,0.9971578160059835,1.3333333730697632,0.9943317422434368,1.0,0.9971578160059835,1.0,1.0,1.0
495,30,50,1,2,3,10,300,0.994137519872814,1.0,0.9970601425083462,2.6666667461395264,0.995324313569439,1.0,0.9976566784663708,1.0,0.963254003891633,0.9812831166850914
20,5,50,1,2,3,10,6254,0.927316001464665,0.9999012930609021,0.9622417478033721,6.666666507720947,0.9863667348329925,0.9998025861218044,0.9930392156862745,1.0,0.6182007589850436,0.7640594104934014
135,15,50,1,2,3,10,440,0.9941392669116916,0.999500649156097,0.996812749003984,2.6666667461395264,0.9982046678635548,0.999500649156097,0.9988522381356355,1.0,0.925003761095231,0.961040990973389
495,30,50,1,2,3,10,250,0.9974064837905237,1.0,0.9987015581302436,2.0,0.9974064837905237,1.0,0.9987015581302436,1.0,1.0,1.0
