Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Number of Negation Constraints,Number of Aggregate Constraints,Number of Parameter Constraints,Frequency of Noisy Events,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,50,1,2,3,0,0,0,9,10,525,0.9289392378990731,1.0,0.9631607047517352,0.6666666865348816,0.9143436391282311,1.0,0.9552554937781308,0.998406374501992,1.0,0.9992025518341308
135,15,50,1,2,3,0,0,0,30,10,334,0.9476879962634283,0.9985236220472441,0.9724418883297388,2.0,0.9607565011820332,1.0,0.9799855317096696,0.9881962375507193,1.0,0.9940630797773654
135,15,50,1,2,3,0,0,0,3,10,3091,0.8414723926380369,1.0,0.9139125799573562,4.0,0.9107569721115538,1.0,0.9532944120100083,0.9836677554829678,1.0,0.99176664314279
135,15,50,1,2,3,0,0,0,9,10,1204,0.7767752059631228,0.9836065573770492,0.8680403331871985,2.6666667461395264,0.884963768115942,0.9706905116741182,0.9258469556977018,0.46321664129883305,1.0,0.6331484049930652
135,15,50,1,2,3,0,0,0,30,10,218,0.9704600484261501,1.0,0.9850086016220201,0.0,0.9704600484261501,1.0,0.9850086016220201,0.982051282051282,1.0,0.9909443725743854
135,15,50,1,2,3,0,0,0,3,10,4988,0.6591586618085459,0.9905425584868094,0.7915672235481306,4.666666507720947,0.8520385795703639,0.9673967147834743,0.9060606060606061,0.6416899163013152,1.0,0.7817431415392085
135,15,50,1,2,3,0,0,0,9,10,519,0.9093198992443325,1.0,0.9525065963060686,0.6666666865348816,0.9116161616161617,1.0,0.9537648612945838,0.9665653495440729,1.0,0.9829984544049459
135,15,50,1,2,3,0,0,0,30,10,7799,0.5544272445820433,0.9953312583370387,0.7121609798775153,14.0,0.9768012491635066,0.9735437972432192,0.9751698029172697,0.8649190182000334,1.0,0.927567373981556
135,15,50,1,2,3,0,0,0,3,10,3330,0.7998610145934677,1.0,0.8888030888030888,6.666666507720947,0.8993218570683359,0.9985519837822183,0.9463428022505832,0.9847080630213161,1.0,0.9922951202428205
135,15,50,1,2,3,0,0,0,9,10,528,0.928607853136155,0.9967159277504105,0.9614572333685323,1.3333333730697632,0.9281345565749235,0.9967159277504105,0.9612034837688044,0.9845797995373939,1.0,0.9922299922299922
135,15,50,1,2,3,0,0,0,30,10,2973,0.6325088339222615,1.0,0.774891774891775,6.0,0.9052631578947369,0.9608938547486033,0.9322493224932249,0.5476700148196937,1.0,0.707734865411214
135,15,50,1,2,3,0,0,0,3,10,3296,0.8782117163412128,1.0,0.93515731874145,8.666666984558105,0.9669024045261669,1.0,0.9831727311951676,0.9851576994434137,1.0,0.9925233644859813
