NumC50Attributes,NumEventTypes,NumValues,NumConstraints,NumAttributes,NumEventConstraints,NumNegations,NumAggregates,NumParameters,Window,NumErrors,OriginalPrecision_Rule1,OriginalRecall_Rule1,OriginalF1_Rule1,MissClassificationCost_Rule1,FinalPrecision_Rule1,FinalRecall_Rule1,FinalF1_Rule1,OriginalPrecision_Rule2,OriginalRecall_Rule2,OriginalF1_Rule2,MissClassificationCost_Rule2,FinalPrecision_Rule2,FinalRecall_Rule2,FinalF1_Rule2,OriginalPrecision_Rule3,OriginalRecall_Rule3,OriginalF1_Rule3,MissClassificationCost_Rule3,FinalPrecision_Rule3,FinalRecall_Rule3,FinalF1_Rule3,OriginalPrecision_Rule12,OriginalRecall_Rule12,OriginalF1_Rule12,MissClassificationCost_Rule12,FinalPrecision_Rule12,FinalRecall_Rule12,FinalF1_Rule12,OriginalPrecision_Rule13,OriginalRecall_Rule13,OriginalF1_Rule13,MissClassificationCost_Rule13,FinalPrecision_Rule13,FinalRecall_Rule13,FinalF1_Rule13,OriginalPrecision_Rule23,OriginalRecall_Rule23,OriginalF1_Rule23,MissClassificationCost_Rule23,FinalPrecision_Rule23,FinalRecall_Rule23,FinalF1_Rule23,OriginalPrecision_Rule123,OriginalRecall_Rule123,OriginalF1_Rule123,MissClassificationCost_Rule123,FinalPrecision_Rule123,FinalRecall_Rule123,FinalF1_Rule123,SystemPrecisionFinal,SystemRecallFinal,SystemF1Final,SystemPrecisionOriginal,SystemRecallOriginal,SystemF1Original
135,15,50,1,2,3,0,0,0,10,311930,0.8667649950835792,0.84624,0.8563795336787564,20.0,0.96147526017893,0.84256,0.8980984053892725,0.8170713540890809,0.8515758422605185,0.83396685418884,17.33333396911621,0.9100803750837241,0.8438130725042695,0.8756948360589705,0.8008804108584006,0.8518807554237553,0.8255937074572681,13.333333015441895,0.9345554223059791,0.8514125175589199,0.8910486769029728,0.7120115774240231,0.5342019543973942,0.6104218362282878,20.0,0.7235294117647059,0.5342019543973942,0.6146158650843224,0.7216546224769499,0.5235942867474236,0.6068734283319362,20.0,0.7267252195734003,0.5235942867474236,0.6086591004623791,0.6909302325581396,0.5363784076548114,0.6039231629230614,20.0,0.6952960449333021,0.5363784076548114,0.6055849979616795,0.7949225189581273,0.9995854063018242,0.8855831037649219,20.0,0.7949225189581273,0.9995854063018242,0.8855831037649219,0.9679578035979676,0.9541433474661821,0.9610009321514154,0.7819030806901657,0.7206739096205322,0.7500409679357624
135,15,50,1,2,3,0,0,0,10,302532,0.7510793308148948,0.8854779704151423,0.812760055478502,14.666666984558105,0.9258273740229502,0.8854779704151423,0.9052032520325203,0.6995384442192952,0.8584058571625915,0.7708721002357027,8.0,0.7665627963690557,0.7815996684624948,0.7740082079343366,0.7862702366127023,0.8140209508460918,0.7999049806002059,4.666666507720947,0.8313014827018121,0.8132151490733279,0.8221588594704684,0.7827507350539039,0.42414586652504865,0.5501722158438576,20.0,0.7894563426688632,0.42414586652504865,0.551819438046983,0.6330196749358425,0.5258482856635281,0.5744784085395439,18.0,0.6464293513867657,0.5258482856635281,0.5799373040752351,0.667434554973822,0.536261147568568,0.5947005038253406,13.333333015441895,0.6693971854652384,0.536261147568568,0.5954783258594918,0.6249058498619131,0.9995983935742971,0.7690406303105206,20.0,0.6250627825213461,0.9995983935742971,0.7691594561186651,0.9491782286860222,0.9457748127805315,0.9474734643937338,0.7105625541898302,0.7064550479184626,0.7085028478437754
135,15,50,1,2,3,0,0,0,10,205277,0.7097170971709718,0.8745074264928766,0.7835415535035307,10.666666984558105,0.8142558278541542,0.825856320096999,0.820015048908954,0.8281944643625412,0.9195859872611465,0.8715007922734475,20.0,0.9403617402639727,0.9189490445859873,0.9295320930981719,0.661454428617329,0.8360633545417625,0.7385792872518536,17.33333396911621,0.8789781646924504,0.833762014349533,0.8557732388495206,0.831096196868009,0.5310936383130808,0.6480593109463585,13.333333015441895,0.8341285433623351,0.5310936383130808,0.6489791461949995,0.5923270683975974,0.5465760772394064,0.5685326390180397,20.0,0.5990593768371546,0.5465760772394064,0.5716155572176514,0.8168654173764907,0.5116485861639695,0.6291962821213778,20.0,0.8190096755833808,0.5118264271741063,0.6299660720148845,0.7811501597444089,1.0,0.8771300448430492,20.0,0.7813998082454459,1.0,0.8772874058127018,0.9513673639419409,0.9548405699593916,0.9531008027732896,0.7299204097516885,0.7355903041344062,0.7327443888545827
135,15,50,1,2,3,0,0,0,10,109032,0.8305918740334599,0.9205359925210346,0.8732540093119503,14.0,0.871067789100576,0.9189778747273294,0.8943816817044506,0.8609656777196044,0.9333123127857481,0.89568045994402,20.0,0.9621322931903137,0.9333123127857481,0.947503201024328,0.8347627215551744,0.9317166560306318,0.8805790108564536,20.0,0.9363476030142697,0.9317166560306318,0.9340263894442222,0.8417443773998903,0.5508885298869144,0.6659433655202344,20.0,0.8435953820780648,0.5508885298869144,0.6665218807688131,0.8353067814854682,0.5518222222222222,0.6645969382293117,20.0,0.8389189189189189,0.5518222222222222,0.6657372654155495,0.8491198658843252,0.5480613165013526,0.6661551950898729,20.0,0.8541315345699831,0.5480613165013526,0.6676919696803252,0.9220045214770158,1.0,0.9594197216232111,20.0,0.9223520542781757,1.0,0.9596078431372549,0.971321312472824,0.9648042854385582,0.9680518307516109,0.8480913823019086,0.7673810084517362,0.8057200159347226
135,15,50,1,2,3,0,0,0,10,461610,0.8272469568117392,0.8128789120104867,0.82,19.33333396911621,0.8956899674031148,0.8104211043748976,0.8509247311827958,0.7422561590548912,0.8232662192393736,0.7806652019092354,15.333333015441895,0.8515146498924019,0.8219878555449025,0.8364907716074477,0.6362266425557564,0.752584670231729,0.6895312755185367,6.666666507720947,0.7728080973874983,0.6714200831847891,0.7185552588070712,0.6615513392857143,0.41472800419800593,0.5098376518653909,20.0,0.6669479606188466,0.41472800419800593,0.5114322691975841,0.531110639201529,0.4326989619377163,0.47688054151968734,20.0,0.5399223133362107,0.4328719723183391,0.48050700979450744,0.5687074829931973,0.415506958250497,0.48018380241240666,20.0,0.5830232558139535,0.41534128561961564,0.4851006191950465,0.41499352331606215,1.0,0.5865659686462982,20.0,0.4160714285714286,1.0,0.587641866330391,0.9534305593384009,0.9401968316805897,0.9467674531630464,0.6317540877642384,0.6456498336269328,0.6386263809397045
135,15,50,1,2,3,0,0,0,10,189593,0.8013904034896401,0.9173037915431425,0.8554383412149872,3.3333332538604736,0.8284949267192785,0.9173037915431425,0.8706405035172159,0.8409682855829631,0.8899156939040207,0.8647499015360377,20.0,0.9279797125950973,0.8899156939040207,0.9085492013572788,0.6334935366257872,0.8212482543774842,0.7152547130093092,11.333333015441895,0.7918264621284755,0.7097432592115157,0.7485413244207784,0.7961344982790575,0.5365810135617416,0.6410830401876133,20.0,0.8048715203426124,0.5365810135617416,0.6438972162740899,0.7857722477684609,0.5151622628125554,0.6223221936589545,20.0,0.7904761904761904,0.5151622628125554,0.6237921408632167,0.6296804548127818,0.5575420933865648,0.5914196280611305,14.0,0.6412457576362547,0.5575420933865648,0.5964716805942432,0.8132013201320132,0.9983792544570502,0.8963259367042561,20.0,0.8132013201320132,0.9983792544570502,0.8963259367042561,0.9398172677595629,0.9466538674933289,0.9432231796563768,0.7367343990755008,0.7399052178538614,0.738316404082322
135,15,50,1,2,3,0,0,0,10,335703,0.7780282536819958,0.8311125381281105,0.8036947915858107,15.333333015441895,0.8786067952876899,0.8261358163429122,0.8515637928181368,0.7996197162498172,0.8404304381245196,0.8195173137460651,20.0,0.9228170917074818,0.8399692544196772,0.8794463222275872,0.7953870100466959,0.8670368656486195,0.8296678966789668,17.33333396911621,0.9031687308991475,0.8661113681937375,0.8842519685039371,0.6440937979399518,0.5296449810776717,0.5812895569620253,20.0,0.644800351031154,0.5296449810776717,0.5815771247650142,0.8032999029440311,0.44017018259173907,0.5687127805771874,20.0,0.8077423552374756,0.44017018259173907,0.5698221457257603,0.6637308039747064,0.5296449810776717,0.5891550566302496,20.0,0.6662888233960553,0.5296449810776717,0.5901606425702812,0.6698551516807871,1.0,0.802291325695581,20.0,0.6698551516807871,1.0,0.802291325695581,0.9625378682900257,0.952464561195573,0.957474720908051,0.74594341441913,0.7050016923998229,0.7248949214253206
135,15,50,1,2,3,0,0,0,10,496216,0.7937019969278034,0.8055815403804178,0.7995976477870628,15.333333015441895,0.9316501352569883,0.8054256314312441,0.8639518354377456,0.8156379916853214,0.8156379916853214,0.8156379916853214,9.333333015441895,0.9297957695113056,0.8153181963543332,0.8688021809507581,0.7892779671521537,0.7993095873215126,0.7942621033756919,20.0,0.9150467962562995,0.7977404675976777,0.8523765613211501,0.6295047964739435,0.4351254480286738,0.5145703083607078,20.0,0.6346053319393623,0.4351254480286738,0.5162662130554965,0.6295065200715929,0.44448456400072217,0.521058201058201,20.0,0.6312820512820513,0.44448456400072217,0.5216654306600276,0.6796697038724373,0.4288537549407115,0.5258867591980613,20.0,0.6825850729196454,0.4288537549407115,0.5267571444334107,0.4503225806451613,1.0,0.6209964412811388,20.0,0.4510709010339734,1.0,0.6217075963863087,0.9576954189485358,0.9382985600132033,0.9478977702479153,0.6982156278707234,0.6571301317823365,0.6770501538627653
135,15,50,1,2,3,0,0,0,10,187529,0.8052039381153305,0.8830788215332408,0.8423453247995293,16.66666603088379,0.8900187734668336,0.8775258368039488,0.8837281553398058,0.7872788542544229,0.8817424123289825,0.8318374007862918,20.0,0.9089285714285714,0.8804843528856738,0.8944803898074927,0.8214387261870912,0.9206500956022945,0.8682193839218633,10.0,0.9079195474544312,0.9206500956022945,0.9142405063291139,0.699597675458203,0.5513475427162233,0.6166880110333957,20.0,0.7019511101143754,0.5513475427162233,0.6176006314127861,0.8355966483675238,0.5201438848920863,0.6411706019288327,20.0,0.8355966483675238,0.5201438848920863,0.6411706019288327,0.8141543605461131,0.5302123026673925,0.6421978021978022,13.333333015441895,0.8173426573426573,0.5302123026673925,0.6431873211534228,0.8371855880353501,1.0,0.9113783533765033,20.0,0.8371855880353501,1.0,0.9113783533765033,0.9623570681101528,0.9504368322835282,0.956359807663572,0.7980801522444867,0.7440058441389027,0.7700949217536897
135,15,50,1,2,3,0,0,0,10,491145,0.7672669701167624,0.6201215611004478,0.6858911985846969,15.333333015441895,0.9294456443484521,0.6194817658349329,0.7434494673193205,0.8099831572500383,0.8485723452037215,0.8288288288288289,17.33333396911621,0.8534774891076328,0.8484119345524542,0.8509371731960422,0.6516332034761763,0.6447739065974796,0.648185408748789,6.666666507720947,0.7922696464553948,0.6412157153446998,0.7087840052441823,0.08695652173913043,0.003879386351613472,0.007427413909520594,13.333333015441895,0.10185185185185185,0.003879386351613472,0.007474095464582979,0.4118802160039273,0.5525189331577214,0.4719448741386584,20.0,0.4160158671129292,0.5525189331577214,0.4746481861254508,0.5954067920840459,0.4273938968782883,0.49760081674323636,20.0,0.6060681422531708,0.4273938968782883,0.5012856114367994,0.3405119869971556,1.0,0.5080327371930888,20.0,0.3412978550095031,1.0,0.5089068825910931,0.9474857016844981,0.9410242597122747,0.9442439269488129,0.5728333551855251,0.5573841600326598,0.5650031683629263
