3 Rules Precision,3 Rules Recall,3 Rules,5 Rules Precision,5 Rules Recall,5 Rules,10 Rules Precision,10 Rules Recall,10 Rules
0.9383959673783862,0.9918564658794584,0.9643858925006529,0.950060947326408,0.99454023961968,0.9717919011364891,0.9560298661302249,0.9921224037390808,0.9737417998595167
0.9112614509845214,0.9927065211157207,0.9502420188674067,0.9166296983384417,0.9923864101514531,0.9530049031297745,0.9236288706215754,0.9884165839529225,0.9549250944384423
0.9258012059462649,0.9978440253133143,0.9604735706660894,0.9284136907538979,0.9961146256930506,0.9610733686277936,0.9358636588177177,0.9928422495403229,0.9635113121778563
0.9484490034808859,0.9985001175583536,0.97283121704615,0.9473603302881237,0.9979272981313297,0.9719865802358147,0.9377539503386004,0.9920226857206821,0.9641252515728972
0.9298625094387113,0.991512274492372,0.9596983362219778,0.9420683856502242,0.9939332410095166,0.9673060920072233,0.9244153873504821,0.9885316924790609,0.9553990458457283
0.9103018616035007,0.9962337662337662,0.951331240553424,0.9295194328418078,0.9947414098807369,0.9610250862127256,0.9235142848498906,0.9882438003151102,0.9547832161270312
0.9460985360734845,0.9984246933221034,0.9715575792069815,0.9396798922568532,0.9968067894751781,0.9674007111653884,0.9293602807221376,0.9897892569972818,0.9586233940184345
0.9407819550836223,0.9844872241698615,0.9621385159954584,0.9094022749165637,0.9893613642859411,0.9476982356519975,0.9181796241399253,0.9834294563057077,0.9496850828534119
0.9217103706291342,0.9909498973231323,0.955076876370186,0.9226228207650996,0.9912467985008837,0.9557045141434568,0.9252509045935805,0.9880092713429393,0.9556007944496407
0.9354169720064488,0.9972577696526508,0.9653479947666549,0.9265670593913864,0.9967508201622229,0.9603784025530043,0.922778080697928,0.9892021502709979,0.9548362968028722
0.9603689585940001,0.9988802130621633,0.9792460947351245,0.9388593417043833,0.9975394230274452,0.9673102700594008,0.9308097495458901,0.9908335215609572,0.9598841948585017
0.959691201602923,0.9983600778579859,0.9786438106112392,0.9483653382268733,0.9968247498898141,0.9719914232109353,0.9404493370252809,0.9924218488313256,0.9657368546980489
