NumC50Attributes,NumEventTypes,NumValues,NumConstraints,NumAttributes,NumEventConstraints,NumNegations,NumAggregates,NumParameters,Window,NumErrors,OriginalPrecision_Rule1,OriginalRecall_Rule1,OriginalF1_Rule1,MissClassificationCost_Rule1,FinalPrecision_Rule1,FinalRecall_Rule1,FinalF1_Rule1,OriginalPrecision_Rule2,OriginalRecall_Rule2,OriginalF1_Rule2,MissClassificationCost_Rule2,FinalPrecision_Rule2,FinalRecall_Rule2,FinalF1_Rule2,OriginalPrecision_Rule3,OriginalRecall_Rule3,OriginalF1_Rule3,MissClassificationCost_Rule3,FinalPrecision_Rule3,FinalRecall_Rule3,FinalF1_Rule3,SystemPrecisionFinal,SystemRecallFinal,SystemF1Final,SystemPrecisionOriginal,SystemRecallOriginal,SystemF1Original
135,15,50,1,2,3,0,0,0,10,13566,0.7384809593940669,0.9720299086125727,0.8393113342898134,19.33333396911621,0.8595477386934673,0.9473829963998892,0.9013305229877486,0.6442340791738382,0.9612223934257833,0.7714344600164881,14.0,0.8068697342838627,0.9591679506933745,0.8764519535374868,0.6121118012422361,0.9654665686994857,0.7492160030409579,10.666666984558105,0.7637591893502881,0.9414646093558657,0.8433523475208424,0.9383959673783862,0.9918564658794584,0.9643858925006529,0.6584132211962594,0.9660856057991025,0.7831135672064635
135,15,50,1,2,3,0,0,0,10,10839,0.6588652482269504,0.9835892006352568,0.7891272032278615,11.333333015441895,0.7447862894899856,0.9547379565907887,0.8367938754204849,0.7836284203265118,0.991562409077684,0.8754174158746468,13.333333015441895,0.8760925449871465,0.991562409077684,0.9302579500477685,0.8979324784087935,1.0,0.9462217319360178,12.666666984558105,0.9496263492942153,1.0,0.9741624077228848,0.9112614509845214,0.9927065211157207,0.9502420188674067,0.7643012309920347,0.9914521886154424,0.8631828590121033
135,15,50,1,2,3,0,0,0,10,13453,0.7338144767565272,0.9727068092290377,0.8365396249243799,7.333333492279053,0.8125147579693034,0.9682048396173326,0.8835537296186929,0.7731773177317732,0.9845272206303725,0.8661457020418453,20.0,0.8869969040247678,0.9851002865329513,0.9334781428183547,0.6441313146454805,0.9981416957026713,0.7829810495626823,20.0,0.8740846216436127,0.9981416957026713,0.9320030365470122,0.9258012059462649,0.9978440253133143,0.9604735706660894,0.7070643245292556,0.9859899550621201,0.8235510579576817
135,15,50,1,2,3,0,0,0,10,10117,0.8925554382259767,0.9994088087496305,0.9429647190071119,13.333333015441895,0.9594326241134752,0.9997044043748152,0.9791546033584249,0.8151320485367595,0.9950624455416788,0.896154852210306,20.0,0.8966421825813221,0.9927388905024688,0.9422467263955893,0.7981460023174971,1.0,0.8877432658847789,20.0,0.9295546558704454,1.0,0.9634913973982375,0.9484490034808859,0.9985001175583536,0.97283121704615,0.833008288639688,0.9981499513145082,0.9081325301204819
135,15,50,1,2,3,0,0,0,10,12296,0.7998122506453884,0.990409764603313,0.8849649441703453,20.0,0.8856548856548857,0.990409764603313,0.9351076965290163,0.6222317473924847,0.9775533108866442,0.7604330364938013,11.333333015441895,0.7397456564571019,0.9270482603815937,0.8228730822873083,0.7457817772778402,0.9667541557305337,0.842011684023368,10.666666984558105,0.81610337972167,0.957713619130942,0.8812558701194151,0.9298625094387113,0.991512274492372,0.9596983362219778,0.7053804520853232,0.9781898454746137,0.8196818349981502
135,15,50,1,2,3,0,0,0,10,14245,0.680022896393818,0.9807374793615851,0.8031549295774648,4.0,0.7202669902912622,0.9799119427627958,0.8302634646770809,0.8291170634920635,0.9890532544378698,0.9020507285483,20.0,0.9098383118662647,0.9822485207100592,0.9446578460662969,0.6091187100361413,1.0,0.7570836212854182,20.0,0.8729083665338645,1.0,0.9321420974260796,0.9103018616035007,0.9962337662337662,0.951331240553424,0.6855529240298779,0.9906107406107406,0.8103219323116678
135,15,50,1,2,3,0,0,0,10,9269,0.7932947976878613,0.9899019042123486,0.8807598511102556,20.0,0.8974834437086092,0.9774956722446624,0.9357823505040739,0.8775510204081632,0.9953703703703703,0.9327548806941431,16.0,0.9334961997828447,0.9950810185185185,0.9633053221288516,0.8248210023866348,1.0,0.9040020925974365,20.0,0.920863309352518,1.0,0.9588014981273408,0.9460985360734845,0.9984246933221034,0.9715575792069815,0.8304784881383193,0.9950857583349393,0.9053609783895147
135,15,50,1,2,3,0,0,0,10,13091,0.7923382387292689,0.9851873366250363,0.8783013982392542,20.0,0.8613683127572016,0.9726982282892827,0.9136543445641795,0.7542781921895568,0.9848181036952163,0.8542676108833396,20.0,0.8862867551392142,0.975651675737611,0.928824652304336,0.6057107386716325,0.973463687150838,0.7467666641157114,16.66666603088379,0.7970786516853933,0.7077015163607342,0.7497357852462482,0.9407819550836223,0.9844872241698615,0.9621385159954584,0.6930863028294069,0.9801607232546459,0.811997226074896
135,15,50,1,2,3,0,0,0,10,16467,0.7874196510560147,0.9901847575057737,0.8772378516624041,20.0,0.8663803990906794,0.9901847575057737,0.9241546544523778,0.8185957344835849,0.9938900203665988,0.8977660972404731,18.0,0.9041059602649006,0.9930171661332557,0.9464780920687742,0.598061744430013,0.9687651723579868,0.7395601680256981,20.0,0.8241776315789474,0.8109726492960025,0.8175218207031569,0.9217103706291342,0.9909498973231323,0.955076876370186,0.6921998058042939,0.981039755351682,0.8116895439306724
135,15,50,1,2,3,0,0,0,10,10149,0.7532296912634114,0.9910688562373956,0.8559343120179149,20.0,0.8797842281017211,0.9867473350619418,0.9302009777294948,0.8169685414680649,0.9944879605454018,0.8970299620567841,20.0,0.9065469904963042,0.996228604583696,0.9492743607463718,0.76550842037945,0.9925373134328358,0.8643639427127212,13.333333015441895,0.8709912536443148,0.9908789386401327,0.9270752521334368,0.9354169720064488,0.9972577696526508,0.9653479947666549,0.7773896239036717,0.9926917236142748,0.8719466444351812
135,15,50,1,2,3,0,0,0,10,9556,0.7601961221305995,0.9927240977881258,0.8610374858008331,20.0,0.888654909186628,0.9825378346915018,0.933241188666206,0.8852501964893895,0.998817617499261,0.9386111111111111,20.0,0.9502249718785152,0.998817617499261,0.9739155497910361,0.8321610477807422,0.9979639325189064,0.9075519111228673,20.0,0.8790673840635409,0.9979639325189064,0.9347500340553059,0.9603689585940001,0.9988802130621633,0.9792460947351245,0.8224833024865212,0.9964902018133958,0.901163815905484
